city_cod;city_name;state_name;pop
3550308;São Paulo; São Paulo;12252023
3304557;Rio de Janeiro; Rio de Janeiro;6718903
5300108;Brasília; Distrito Federal;3015268
2927408;Salvador;Bahia Bahia;2872347
2304400;Fortaleza; Ceará;2669342
3106200;Belo Horizonte; Minas Gerais;2512070
1302603;Manaus; Amazonas;2182763
4106902;Curitiba; Paraná;1933105
2611606;Recife; Pernambuco;1645727
5208707;Goiânia; Goiás;1516113
1501402;Belém;Pará Pará;1492745
4314902;Porto Alegre; Rio Grande do Sul;1483771
3518800;Guarulhos; São Paulo;1379182
3509502;Campinas; São Paulo;1204073
2111300;São Luís; Maranhão;1101884
3304904;São Gonçalo; Rio de Janeiro;1084839
2704302;Maceió; Alagoas;1018948
3301702;Duque de Caxias; Rio de Janeiro;919596
5002704;Campo Grande; Mato Grosso do Sul;895982
2408102;Natal; Rio Grande do Norte;884122
2211001;Teresina; Piauí;864845
3548708;São Bernardo do Campo; São Paulo;838936
3303500;Nova Iguaçu; Rio de Janeiro;821128
2507507;João Pessoa; Paraíba;809015
3549904;São José dos Campos; São Paulo;721944
3547809;Santo André; São Paulo;718773
3543402;Ribeirão Preto; São Paulo;703293
2607901;Jaboatão dos Guararapes; Pernambuco;702298
3534401;Osasco; São Paulo;698418
3170206;Uberlândia; Minas Gerais;691305
3552205;Sorocaba; São Paulo;679378
3118601;Contagem; Minas Gerais;663855
2800308;Aracaju; Sergipe;657013
2910800;Feira de Santana;Bahia Bahia;614872
5103403;Cuiabá; Mato Grosso;612547
4209102;Joinville; Santa Catarina;590466
5201405;Aparecida de Goiânia; Goiás;578179
4113700;Londrina; Paraná;569733
3136702;Juiz de Fora; Minas Gerais;568873
1500800;Ananindeua;Pará Pará;530598
1100205;Porto Velho; Rondônia;529544
3205002;Serra; Espírito Santo;517510
3303302;Niterói; Rio de Janeiro;513584
3300456;Belford Roxo; Rio de Janeiro;510906
4305108;Caxias do Sul; Rio Grande do Sul;510906
3301009;Campos dos Goytacazes; Rio de Janeiro;507548
1600303;Macapá; Amapá;503327
4205407;Florianópolis; Santa Catarina;500973
3205200;Vila Velha; Espírito Santo;493838
3529401;Mauá; São Paulo;472912
3305109;São João de Meriti; Rio de Janeiro;472406
